team1,team2,winner
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Deccan Chargers,Delhi Daredevils,Delhi Daredevils
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,Rajasthan Royals
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Mumbai Indians,Deccan Chargers,Deccan Chargers
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
Mumbai Indians,Delhi Daredevils,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Rajasthan Royals,Deccan Chargers,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Delhi Daredevils,Deccan Chargers,Delhi Daredevils
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
Deccan Chargers,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
Kings XI Punjab,Deccan Chargers,Kings XI Punjab
Delhi Daredevils,Mumbai Indians,Delhi Daredevils
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Deccan Chargers,Chennai Super Kings,Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Deccan Chargers,Mumbai Indians,Deccan Chargers
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Deccan Chargers,Delhi Daredevils,Delhi Daredevils
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
Chennai Super Kings,Deccan Chargers,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
Deccan Chargers,Mumbai Indians,Deccan Chargers
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Delhi Daredevils,Mumbai Indians,Delhi Daredevils
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
Deccan Chargers,Rajasthan Royals,Deccan Chargers
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Kings XI Punjab,Mumbai Indians,Mumbai Indians
Deccan Chargers,Delhi Daredevils,Delhi Daredevils
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Mumbai Indians,Rajasthan Royals,Rajasthan Royals
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Delhi Daredevils,Mumbai Indians,Delhi Daredevils
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Delhi Daredevils,Deccan Chargers,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Chennai Super Kings,Deccan Chargers,Deccan Chargers
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Delhi Daredevils,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
Deccan Chargers,Delhi Daredevils,Deccan Chargers
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Rajasthan Royals,Deccan Chargers,Rajasthan Royals
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Deccan Chargers,Mumbai Indians,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
Mumbai Indians,Kings XI Punjab,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Mumbai Indians,Deccan Chargers,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
Deccan Chargers,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Deccan Chargers,Chennai Super Kings,Deccan Chargers
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
Rajasthan Royals,Mumbai Indians,Mumbai Indians
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
Mumbai Indians,Delhi Daredevils,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
Kings XI Punjab,Deccan Chargers,Deccan Chargers
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Delhi Daredevils,Deccan Chargers,Deccan Chargers
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Deccan Chargers,Chennai Super Kings
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,Rajasthan Royals
Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Mumbai Indians
Pune Warriors,Kings XI Punjab,Pune Warriors
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
Pune Warriors,Kochi Tuskers Kerala,Pune Warriors
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Pune Warriors,Delhi Daredevils,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala
Delhi Daredevils,Deccan Chargers,Deccan Chargers
Mumbai Indians,Pune Warriors,Mumbai Indians
Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
Deccan Chargers,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals
Chennai Super Kings,Pune Warriors,Chennai Super Kings
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
Pune Warriors,Chennai Super Kings,Chennai Super Kings
Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Rajasthan Royals,Pune Warriors,Rajasthan Royals
Chennai Super Kings,Deccan Chargers,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Mumbai Indians
Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Pune Warriors,Mumbai Indians,Mumbai Indians
Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala
Deccan Chargers,Delhi Daredevils,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
Mumbai Indians,Delhi Daredevils,Mumbai Indians
Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore
Kings XI Punjab,Pune Warriors,Pune Warriors
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
Deccan Chargers,Pune Warriors,Pune Warriors
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Mumbai Indians,Deccan Chargers,Deccan Chargers
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala
Pune Warriors,Deccan Chargers,Deccan Chargers
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Rajasthan Royals
Kings XI Punjab,Deccan Chargers,Deccan Chargers
Delhi Daredevils,Pune Warriors,
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
Mumbai Indians,Pune Warriors,Pune Warriors
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
Deccan Chargers,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Pune Warriors,Kings XI Punjab,Pune Warriors
Deccan Chargers,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Kings XI Punjab,Pune Warriors,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Delhi Daredevils,Deccan Chargers,Delhi Daredevils
Pune Warriors,Chennai Super Kings,Pune Warriors
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Delhi Daredevils,Delhi Daredevils
Rajasthan Royals,Deccan Chargers,Rajasthan Royals
Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Deccan Chargers,Delhi Daredevils,Delhi Daredevils
Chennai Super Kings,Pune Warriors,Chennai Super Kings
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Delhi Daredevils,Pune Warriors,Pune Warriors
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
Pune Warriors,Delhi Daredevils,Delhi Daredevils
Kings XI Punjab,Mumbai Indians,Mumbai Indians
Pune Warriors,Deccan Chargers,Deccan Chargers
Delhi Daredevils,Mumbai Indians,Delhi Daredevils
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
Mumbai Indians,Deccan Chargers,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
Deccan Chargers,Pune Warriors,Deccan Chargers
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Pune Warriors,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Deccan Chargers,Chennai Super Kings
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
Pune Warriors,Rajasthan Royals,Rajasthan Royals
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
Rajasthan Royals,Pune Warriors,Rajasthan Royals
Kings XI Punjab,Deccan Chargers,Kings XI Punjab
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,Deccan Chargers
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
Rajasthan Royals,Mumbai Indians,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Pune Warriors,Kings XI Punjab,Kings XI Punjab
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Mumbai Indians,Delhi Daredevils,Mumbai Indians
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Pune Warriors,Rajasthan Royals,Pune Warriors
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Pune Warriors,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Chennai Super Kings,Pune Warriors,Pune Warriors
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Delhi Daredevils
Kings XI Punjab,Pune Warriors,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Delhi Daredevils,Pune Warriors,Delhi Daredevils
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Mumbai Indians
Pune Warriors,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Rajasthan Royals,Pune Warriors,Rajasthan Royals
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
Pune Warriors,Mumbai Indians,Mumbai Indians
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
Kolkata Knight Riders,Pune Warriors,Pune Warriors
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Pune Warriors,Delhi Daredevils,Pune Warriors
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
